model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,normal_recall_mean,normal_recall_std,mild_recall_mean,mild_recall_std,severe_recall_mean,severe_recall_std
Logistic Regression,0.5723074001330699,0.08909446852211263,0.5196502697396828,0.08624234900618283,0.5145586386059764,0.09561478531698289,0.44969978310303393,0.14563659277814694,0.7713938832588718,0.07293049670824003,0.33785714285714286,0.17372861782982452
SVM,0.5924369990945413,0.07342607501789553,0.47863116365901615,0.049468564155261824,0.4546401379663589,0.05473590950290635,0.6528920864996717,0.11201940016143541,0.7237156901916627,0.15893348967038995,0.05928571428571429,0.07517326923955926
Random Forest,0.5546691261033524,0.10126163285667443,0.4589812743148096,0.071048997282851,0.44415970908046154,0.07461420239046802,0.5449714705658978,0.16701878907420845,0.7235199714261499,0.13410495657612267,0.10845238095238097,0.12988138885178285
"ResNet1D (grouped-tuned, fixed-weights)",0.6124267492911728,0.04995534928123612,0.621634993614825,0.060374687928520826,0.5819132867158057,0.0600173504625174,0.6707418859090686,0.21600895232835657,0.5414249996973108,0.19871196945247052,0.6527380952380952,0.1391524087364026
CTG-Net (Zhao et al.),0.5203842440654308,0.06594290825137902,0.4810426034624222,0.06826501781742948,0.4545161993520332,0.07785569038711587,0.7108993830387019,0.21172452648841567,0.43972842734856465,0.10842972444270707,0.2925,0.16893947748277843
Hybrid MS-CNN,0.6703267765567766,0.07105537094260521,0.6548572899374447,0.07351120020418252,0.6459371237788707,0.0687990817573089,0.6365377554382806,0.15737263253233105,0.705832956079009,0.1869514632042612,0.6222476190476189,0.1883655246703965
