Model,Accuracy,Bal. Accuracy,Macro F1,Normal Recall,Mild Recall,Severe Recall
Logistic Regression,0.5723 +/- 0.0891,0.5197 +/- 0.0862,0.5146 +/- 0.0956,0.4497,0.7714,0.3379
SVM,0.5924 +/- 0.0734,0.4786 +/- 0.0495,0.4546 +/- 0.0547,0.6529,0.7237,0.0593
Random Forest,0.5547 +/- 0.1013,0.4590 +/- 0.0710,0.4442 +/- 0.0746,0.5450,0.7235,0.1085
"ResNet1D (grouped-tuned, fixed-weights)",0.6124 +/- 0.0500,0.6216 +/- 0.0604,0.5819 +/- 0.0600,0.6707,0.5414,0.6527
CTG-Net (Zhao et al.),0.5204 +/- 0.0659,0.4810 +/- 0.0683,0.4545 +/- 0.0779,0.7109,0.4397,0.2925
Hybrid MS-CNN,0.6703 +/- 0.0711,0.6549 +/- 0.0735,0.6459 +/- 0.0688,0.6365,0.7058,0.6222
