fold,auc,f1,precision,recall,threshold,n_epochs,train_loss,val_loss
1,0.5316804407713498,0.47058823529411764,0.6666666666666666,0.36363636363636365,0.63267636,37,0.19550956785678864,0.7965390682220459
2,0.6473829201101928,0.64,0.5714285714285714,0.7272727272727273,0.43690845,58,0.17429031431674957,0.612054169178009
3,0.48760330578512395,0.41509433962264153,0.2619047619047619,1.0,0.46319798,23,0.2922496199607849,0.8312170505523682
4,0.487603305785124,0.4117647058823529,0.30434782608695654,0.6363636363636364,0.50370497,21,0.48401421308517456,0.8438958525657654
5,0.4661458333333333,0.5,0.3333333333333333,1.0,0.48494416,22,0.43119505047798157,0.7476277947425842
