fold,auc,f1,precision,recall,threshold,n_epochs,train_loss,train_acc,pred_std,pred_range
1,0.47107438016528924,0.4186046511627907,0.28125,0.8181818181818182,0.03272469,200,0.12440047413110733,0.96875,0.32433215,0.9441963
2,0.6556473829201102,0.5,0.5555555555555556,0.45454545454545453,0.6830689,184,0.0806262195110321,0.9829545617103577,0.29654065,0.9638481
3,0.4765840220385675,0.4090909090909091,0.2727272727272727,0.8181818181818182,0.09462958,200,0.13595980405807495,0.9630681872367859,0.26150638,0.9593413
4,0.7107438016528925,0.5,0.3448275862068966,0.9090909090909091,0.040842995,150,0.14179082214832306,0.9573863744735718,0.2383915,0.86961746
5,0.4661458333333333,0.43636363636363634,0.27906976744186046,1.0,0.0053965226,160,0.0929565355181694,0.9772727489471436,0.2814145,0.99210525
